Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
Astralis,Rogue,11/02/2022,0.024,0.0,-,Rogue,Rogue,-,N,N,-
Excel Esports,Team Vitality,11/02/2022,0.44,0.0,-,Team Vitality,Team Vitality,-,N,N,-
Misfits Gaming,Team BDS,11/02/2022,0.735,1.0,-,Misfits Gaming,Misfits Gaming,-,Y,Y,-
Fnatic,SK Gaming,11/02/2022,0.819,1.0,-,Fnatic,Fnatic,-,Y,Y,-
G2 Esports,MAD Lions,11/02/2022,0.649,0.0,-,G2 Esports,MAD Lions,-,Y,N,-
Excel Esports,Team BDS,12/02/2022,0.724,1.0,-,Excel Esports,Excel Esports,-,Y,Y,-
MAD Lions,SK Gaming,12/02/2022,0.512,1.0,-,MAD Lions,MAD Lions,-,N,N,-
Misfits Gaming,Rogue,12/02/2022,0.332,0.0,-,Rogue,Rogue,-,N,N,-
Astralis,G2 Esports,12/02/2022,0.293,0.0,-,G2 Esports,G2 Esports,-,Y,Y,-
Fnatic,Team Vitality,12/02/2022,0.516,1.0,-,Fnatic,Fnatic,-,Y,Y,-
Dignitas,Evil Geniuses,12/02/2022,0.688,1.0,-,Dignitas,Dignitas,-,N,N,-
100 Thieves,Immortals,12/02/2022,0.985,1.0,-,100 Thieves,100 Thieves,-,N,N,-
Cloud9,Team Liquid,12/02/2022,0.55,0.0,-,Cloud9,Team Liquid,-,N,Y,-
Counter Logic Gaming,Golden Guardians,12/02/2022,0.14,0.0,-,Golden Guardians,Golden Guardians,-,Y,Y,-
FlyQuest,TSM,12/02/2022,0.912,0.513,-,FlyQuest,FlyQuest,-,Y,Y,-
Kwangdong Freecs,Nongshim RedForce,12/02/2022,0.276,0.0,-,Nongshim RedForce,Nongshim RedForce,-,N,N,-
Fredit BRION,KT Rolster,12/02/2022,0.434,0.0,-,KT Rolster,KT Rolster,-,Y,Y,-
Cloud9,Immortals,13/02/2022,0.978,0.48,-,Cloud9,Immortals,-,Y,N,-
Golden Guardians,TSM,13/02/2022,0.973,1.0,-,Golden Guardians,Golden Guardians,-,Y,Y,-
100 Thieves,Evil Geniuses,13/02/2022,0.858,1.0,-,100 Thieves,100 Thieves,-,Y,Y,-
FlyQuest,Team Liquid,13/02/2022,0.886,0.0,-,FlyQuest,Team Liquid,-,N,Y,-
Counter Logic Gaming,Dignitas,13/02/2022,0.004,0.0,-,Dignitas,Dignitas,-,Y,Y,-
Fredit BRION,Liiv SANDBOX,16/02/2022,0.807,0.463,-,Fredit BRION,Liiv SANDBOX,-,N,Y,-
Gen.G,Nongshim RedForce,16/02/2022,0.771,1.0,-,Gen.G,Gen.G,-,Y,Y,-
Hanwha Life Esports,Kwangdong Freecs,17/02/2022,0.43,0.0,-,Kwangdong Freecs,Kwangdong Freecs,-,Y,Y,-
DRX,DWG KIA,17/02/2022,0.285,0.0,-,DWG KIA,DWG KIA,-,N,N,-
Excel Esports,Misfits Gaming,18/02/2022,0.491,1.0,-,Misfits Gaming,Excel Esports,-,Y,N,-
G2 Esports,SK Gaming,18/02/2022,0.994,1.0,-,G2 Esports,G2 Esports,-,N,N,-
Astralis,Fnatic,18/02/2022,0.014,0.0,-,Fnatic,Fnatic,-,N,N,-
Team BDS,Team Vitality,18/02/2022,0.161,0.0,-,Team Vitality,Team Vitality,-,Y,Y,-
MAD Lions,Rogue,18/02/2022,0.039,0.0,-,Rogue,Rogue,-,Y,Y,-
KT Rolster,T1,18/02/2022,0.076,0.0,-,T1,T1,-,Y,Y,-
Gen.G,Liiv SANDBOX,18/02/2022,0.993,1.0,-,Gen.G,Gen.G,-,Y,Y,-
Astralis,Excel Esports,19/02/2022,0.462,0.526,-,Excel Esports,Astralis,-,Y,N,-
SK Gaming,Team BDS,19/02/2022,0.501,0.645,-,SK Gaming,SK Gaming,-,Y,Y,-
MAD Lions,Misfits Gaming,19/02/2022,0.267,1.0,-,Misfits Gaming,MAD Lions,-,Y,N,-
Rogue,Team Vitality,19/02/2022,0.594,1.0,-,Rogue,Rogue,-,Y,Y,-
